Plaszczyzna jednorodne -9.81 -1 0
Ziemia centralne 9.81 6.371e+3 7.32e-5
Mars centralne 3.7 3.3895e+3 2.617e-6
Ksiezyc centralne 1.62 1.7371e+3 7.07e-5
